"","Year","Month","Unemployment_Rate_16_19_Years","Unemployment_Rate_20_Years_Over_Men","Unemployment_Rate_20_Years_Over_Women","Unemployment_Rate_25_Years_Over_Bachelor_s_Degree_and_Higher","Unemployment_Rate_25_Years_Over_High_School_Graduates_No_College","Unemployment_Rate_25_Years_Over_Less_than_a_High_School_Diploma","Unemployment_Rate_25_Years_Over_Some_College_or_Associate_Degree","Unemployment_Rate_Asian","Unemployment_Rate_Black_or_African_American","Unemployment_Rate_Hispanic_or_Latino","Unemployment_Rate","Unemployment_Rate_White"
"239","2007","Dec","16.8","4.4","4.4","2.1","4.7","7.7","3.8","2.6","9","6.3","5","4.4"
"240","2008","Dec","20.5","7.4","5.9","3.6","7.8","11.1","5.7","2.9","12.1","9.4","7.3","6.7"
"241","2009","Dec","26.7","10.1","8","4.9","10.6","15","8.7","6.7","16.1","12.8","9.9","9"
"242","2010","Dec","25.3","9.4","8","4.8","9.8","15","8.1","8.2","15.5","12.9","9.3","8.5"
"243","2011","Dec","23.3","8","7.8","4.1","8.7","13.7","7.6","6.7","15.4","11.1","8.5","7.5"
"244","2012","Dec","24.1","7.2","7.4","4","8","11.8","6.9","6.2","14","9.6","7.9","6.9"
"245","2013","Dec","20.4","6.3","6.1","3.3","7","9.8","6.2","6","11.9","8.3","6.7","5.9"
"246","2014","Dec","16.9","5.2","5.1","2.8","5.3","8.6","5","5.9","10.6","6.4","5.6","4.7"
"247","2015","Dec","16.2","4.6","4.5","2.5","5.6","6.4","4.1","4","8.5","6.2","5","4.4"
"248","2016","Dec","14.5","4.4","4.3","2.5","5.1","7.5","3.8","3.8","7.9","5.9","4.7","4.2"
"249","2017","Dec","13.7","3.7","3.7","2.2","4.2","6.2","3.6","3.4","6.7","5","4.1","3.7"
"250","2018","Dec","12.6","3.6","3.5","2.2","3.8","5.8","3.3","2.9","6.6","4.4","3.9","3.4"
"251","2019","Dec","12.6","3.1","3.2","1.9","3.7","5.2","2.7","3.1","5.9","4.2","3.5","3.2"
"252","2020","Dec",NA,NA,NA,NA,NA,NA,NA,"2.5",NA,NA,NA,NA
